Algorithm,Run,Best_Fitness,Runtime
TLBO,1,1.881652812965614e-14,0.23115181922912598
TLBO,2,2.852186183212061e-15,0.2560393810272217
TLBO,3,1.534661925427913e-14,0.23534226417541504
TLBO,4,4.70237359911983e-15,0.24469876289367676
TLBO,5,3.8079442087896e-15,0.2458786964416504
TLBO,6,6.02138465537582e-14,0.23969197273254395
TLBO,7,9.791409438852591e-14,0.23173141479492188
TLBO,8,1.164566201937582e-15,0.23719453811645508
TLBO,9,3.445954333564793e-14,0.25944018363952637
TLBO,10,2.579280260632809e-15,0.23104023933410645
TLBO,11,7.482674183014405e-14,0.227827787399292
TLBO,12,3.982869496762109e-14,0.22974801063537598
TLBO,13,1.0410007905132285e-14,0.2364976406097412
TLBO,14,7.081537253190638e-15,0.22922396659851074
TLBO,15,4.874909911442622e-15,0.2292640209197998
TLBO,16,2.0327092297509768e-14,0.2297360897064209
TLBO,17,9.547938133600104e-16,0.22899651527404785
TLBO,18,1.0974944503432376e-14,0.22888660430908203
TLBO,19,9.170855876928645e-15,0.2647366523742676
TLBO,20,4.0029906512039215e-15,0.25577592849731445
SimulatedAnnealing,1,87631.52847024046,0.0024077892303466797
SimulatedAnnealing,2,99670.84819764704,0.001844167709350586
SimulatedAnnealing,3,70042.66538019008,0.0020253658294677734
SimulatedAnnealing,4,73062.23276501545,0.0018184185028076172
SimulatedAnnealing,5,120323.06422042767,0.0017971992492675781
SimulatedAnnealing,6,81064.24907289678,0.0018169879913330078
SimulatedAnnealing,7,80738.18979577791,0.0020384788513183594
SimulatedAnnealing,8,89100.52114135731,0.0018069744110107422
SimulatedAnnealing,9,89580.73712041388,0.0017676353454589844
SimulatedAnnealing,10,97175.97119856538,0.0017778873443603516
SimulatedAnnealing,11,67882.1518334072,0.0017948150634765625
SimulatedAnnealing,12,101998.02688690885,0.0020439624786376953
SimulatedAnnealing,13,107049.26328633833,0.0017993450164794922
SimulatedAnnealing,14,113292.63873999777,0.0018048286437988281
SimulatedAnnealing,15,75502.80091701253,0.0017840862274169922
SimulatedAnnealing,16,99593.36758344283,0.002007722854614258
SimulatedAnnealing,17,78465.35281534551,0.001957416534423828
SimulatedAnnealing,18,82820.07353178681,0.0017766952514648438
SimulatedAnnealing,19,92056.98780513534,0.001766204833984375
SimulatedAnnealing,20,71607.15902822885,0.0017690658569335938
HillClimbing,1,90789.56734255179,0.0028226375579833984
HillClimbing,2,101974.00365288346,0.0017924308776855469
HillClimbing,3,71460.65830695913,0.0015742778778076172
HillClimbing,4,70735.63528919879,0.0015757083892822266
HillClimbing,5,123411.98206526457,0.0016169548034667969
HillClimbing,6,82604.1356456879,0.0015616416931152344
HillClimbing,7,79664.4572786648,0.0015518665313720703
HillClimbing,8,90082.91424219515,0.0015649795532226562
HillClimbing,9,92992.68346125775,0.0015606880187988281
HillClimbing,10,98186.95122855423,0.0017132759094238281
HillClimbing,11,70991.06263220224,0.0016260147094726562
HillClimbing,12,101443.82016218288,0.0015714168548583984
HillClimbing,13,103323.64808697379,0.001542806625366211
HillClimbing,14,114759.01630212748,0.0015645027160644531
HillClimbing,15,77411.24023867481,0.0015594959259033203
HillClimbing,16,101448.31898336539,0.0015690326690673828
HillClimbing,17,81390.06543673741,0.0015778541564941406
HillClimbing,18,81862.25380066861,0.0015845298767089844
HillClimbing,19,94282.94132592958,0.0015606880187988281
HillClimbing,20,72774.33480068814,0.0016112327575683594
