Algorithm,Run,Best_Fitness
TLBO,1,1.881652812965614e-14
TLBO,2,2.852186183212061e-15
TLBO,3,1.534661925427913e-14
TLBO,4,4.70237359911983e-15
TLBO,5,3.8079442087896e-15
TLBO,6,6.02138465537582e-14
TLBO,7,9.791409438852591e-14
TLBO,8,1.164566201937582e-15
TLBO,9,3.445954333564793e-14
TLBO,10,2.579280260632809e-15
TLBO,11,7.482674183014405e-14
TLBO,12,3.982869496762109e-14
TLBO,13,1.0410007905132285e-14
TLBO,14,7.081537253190638e-15
TLBO,15,4.874909911442622e-15
TLBO,16,2.0327092297509768e-14
TLBO,17,9.547938133600104e-16
TLBO,18,1.0974944503432376e-14
TLBO,19,9.170855876928645e-15
TLBO,20,4.0029906512039215e-15
SimulatedAnnealing,1,87631.52847024046
SimulatedAnnealing,2,99670.84819764704
SimulatedAnnealing,3,70042.66538019008
SimulatedAnnealing,4,73062.23276501545
SimulatedAnnealing,5,120323.06422042767
SimulatedAnnealing,6,81064.24907289678
SimulatedAnnealing,7,80738.18979577791
SimulatedAnnealing,8,89100.52114135731
SimulatedAnnealing,9,89580.73712041388
SimulatedAnnealing,10,97175.97119856538
SimulatedAnnealing,11,67882.1518334072
SimulatedAnnealing,12,101998.02688690885
SimulatedAnnealing,13,107049.26328633833
SimulatedAnnealing,14,113292.63873999777
SimulatedAnnealing,15,75502.80091701253
SimulatedAnnealing,16,99593.36758344283
SimulatedAnnealing,17,78465.35281534551
SimulatedAnnealing,18,82820.07353178681
SimulatedAnnealing,19,92056.98780513534
SimulatedAnnealing,20,71607.15902822885
HillClimbing,1,90789.56734255179
HillClimbing,2,101974.00365288346
HillClimbing,3,71460.65830695913
HillClimbing,4,70735.63528919879
HillClimbing,5,123411.98206526457
HillClimbing,6,82604.1356456879
HillClimbing,7,79664.4572786648
HillClimbing,8,90082.91424219515
HillClimbing,9,92992.68346125775
HillClimbing,10,98186.95122855423
HillClimbing,11,70991.06263220224
HillClimbing,12,101443.82016218288
HillClimbing,13,103323.64808697379
HillClimbing,14,114759.01630212748
HillClimbing,15,77411.24023867481
HillClimbing,16,101448.31898336539
HillClimbing,17,81390.06543673741
HillClimbing,18,81862.25380066861
HillClimbing,19,94282.94132592958
HillClimbing,20,72774.33480068814
